"","Município","UF","Índice de Acesso a Capital","Rank Acesso a Capital","Índice de Ambiente Regulatório","Rank Ambiente Regulatório","Índice de Capital Humano","Rank Capital Humano","Índice de Cultura","Rank Cultura","Índice de Infraestrutura","Rank Infraestrutura","Índice de Inovação","Rank Inovação","Índice de Mercado","Rank Mercado","Índice Cidades Empreendendoras 2023","Rank ICE 23"
"72","Caruaru","PE",5.58917820181148,68,5.03212482462185,87,6.18639253382129,46,6.202452161315,40,4.525251517,96,4.95796301250285,83,4.26616004485334,100,5.06628113271327,84
"73","Caucaia","CE",5.34687189804676,99,5.87136119966218,58,3.04031711313887,101,5.3388140387933,85,4.690415974,94,5.05321293036063,81,5.37688238229661,72,4.67455962995089,91
"74","Blumenau","SC",6.14683976975707,19,7.13882776731759,16,5.96096318639852,58,6.34821456180769,33,6.813991315,19,7.79459620000774,8,6.88372095003002,20,7.18706700874017,13
"75","Petrolina","PE",5.55725366982211,73,5.06843894300312,85,6.02957391353792,53,6.38445683881581,31,4.367936376,99,4.74522903090419,92,5.1231598192652,81,5.32106085535024,81
"76","Ponta Grossa","PR",5.74554948832029,47,6.41165890204916,29,6.37056746919182,38,5.60754155977052,77,7.817201369,4,5.61422663440611,63,6.39871934834882,36,5.99660856558314,50
"77","Franca","SP",5.91305641213212,32,6.08497245941252,49,6.98123086683836,18,5.83690935439759,64,6.0246916,47,5.89838009953455,50,5.27760163865364,77,5.88504700252926,57
"78","Canoas","RS",5.62249617600894,66,5.48854691374418,69,5.36220514569856,75,5.96182883620855,56,6.44385361,26,6.42731762459704,33,6.02244193360468,46,5.68044185317499,68
"79","Pelotas","RS",5.81128724339359,44,5.19837279672533,81,6.77417651937776,24,5.7509702079841,69,6.192486202,40,6.43670008782413,32,5.10484810726681,83,5.48374213557397,74
"80","Vitória da Conquista","BA",5.64790051737208,59,5.17041546607845,82,6.06582663159502,50,5.3656628019392,84,4.443168294,98,4.80241398892814,90,3.92583059420161,101,4.54521779278613,95
"81","Ribeirão das Neves","MG",5.30874198738281,100,5.29067628508789,74,4.17193017061128,98,5.10100177833787,89,4.942915158,87,4.39360492798589,100,5.24385351938339,78,4.3398422246507,96
"82","Uberaba","MG",5.74099320694705,48,6.24677790678146,39,6.0552540216743,51,4.90669466521164,90,5.686606026,64,5.8851376785412,51,5.56695512604913,59,5.32463221773077,79
